순위,도서명,저자,출판사,출판일,가격,링크
1,"바로바로 클로드 with 코워크, 스킬, 클로드 코드, 디자인",차진우,골든래빗,2026년 05월,"25,200",https://www.yes24.com/product/goods/189114943
2,혼자 공부하는 바이브 코딩 with 클로드 코드,조태호,한빛미디어,2025년 12월,"27,000",https://www.yes24.com/product/goods/167573138
3,뚝딱 바로 써먹는 AI 3대장 챗GPT · 제미나이 · 클로드,코리아교육그룹 연구소,안경다리BOOKS,2026년 06월,"19,800",https://www.yes24.com/product/goods/192148896
4,이게 되네? 제미나이 완전 미친 활용법 81제,오힘찬,골든래빗,2026년 02월,"21,600",https://www.yes24.com/product/goods/176901674
5,"요즘 교사를 위한 에듀테크 5대장 : 캔바, 패들렛, 북크리에이터, 노션, 챗GPT∙제미나이","안익재, 황의태",앤써북,2025년 12월,"17,820",https://www.yes24.com/product/goods/169849422
6,"AI 시대의 질문력, 프롬프트 엔지니어링",류한석,코리아닷컴(Korea.com),2025년 08월,"24,300",https://www.yes24.com/product/goods/150566390
7,돈이 되네? 취미 그림이 전 세계로 팔리는 스톡 이미지 [홍차의 커스텀 브러시 제공＋승인율 가이드 전자책 제공],스튜디오 홍차,골든래빗,2026년 07월,"23,220",https://www.yes24.com/product/goods/193587161
8,하네스 엔지니어링 with 클로드 코드,황민호,한빛미디어,2026년 06월,"27,000",https://www.yes24.com/product/goods/189818905
9,한눈에 보는 AI 반도체 산업,MrTrigger,한빛미디어,2026년 03월,"23,400",https://www.yes24.com/product/goods/183751609
10,요즘 교사를 위한 AI 바이브 코딩 활용 가이드 with 2022 개정 교육과정,"공지훈, 곽수창, 박준효",한빛미디어,2026년 05월,"19,800",https://www.yes24.com/product/goods/189413191
11,클로드 코드로 시작하는 실전 에이전틱 코딩,Goos Kim,더 타이즈,2026년 05월,"29,700",https://www.yes24.com/product/goods/189211422
12,챗GPT · 제미나이 · 클로드까지 모두를 위한 AI,지현이,시프트,2026년 07월,"19,800",https://www.yes24.com/product/goods/192877325
13,바쁜 교사를 위한 바로 쓰는 AI,"전소영, 이태화, 조두연",사회평론아카데미,2026년 04월,"21,600",https://www.yes24.com/product/goods/185897982
14,현직 영어 쌤들의 바로 통하는 영어 수업 루틴 찐 실전 ChatGPT (생성형 AI (에듀테크) 영어 수업 루틴 활용하기!),"권수정, 장은정, 이민화, 강미나, 유지민",광문각출판미디어,2026년 07월,"19,000",https://www.yes24.com/product/goods/193389466
15,요즘 교사를 위한 AI 수업 활용 가이드 with 2022 개정 교육과정,"박진환, 공지훈, 서원진",한빛미디어,2025년 05월,"18,000",https://www.yes24.com/product/goods/145426898
16,진짜 쓰는 실무 엑셀,전진권,제이펍,2022년 02월,"18,900",https://www.yes24.com/product/goods/106711883
17,일 잘하는 직장인의 AI 활용법,"김덕중, 김민정, 김인선",디지털북스,2026년 05월,"19,800",https://www.yes24.com/product/goods/189531001
18,된다! 캡컷 영상 편집,지민이,이지스퍼블리싱,2026년 05월,"19,800",https://www.yes24.com/product/goods/188182444
19,"조코딩의 바이브 코딩 1인 창업 with 클로드 코드, 수파베이스, 스트라이프",조동근,한빛미디어,2026년 05월,"27,000",https://www.yes24.com/product/goods/189855418
20,Do it! 점프 투 파이썬,박응용,이지스퍼블리싱,2023년 06월,"19,800",https://www.yes24.com/product/goods/119293186
21,교사를 위한 AI 에듀테크 수업·생활·업무 대백과,"송해남, 한의표, 김은서, 박수임, 김혜진, 정보 더 보기/감추기, 송해남, 한의표, 김은서, 박수임, 김혜진, 유영재",프리렉,2026년 05월,"24,300",https://www.yes24.com/product/goods/189634812
22,클로드 코드 마스터,"이남희, 백승현",한빛미디어,2026년 04월,"32,400",https://www.yes24.com/product/goods/186846424
23,된다! 하루 만에 끝내는 제미나이 활용법,권서림,이지스퍼블리싱,2025년 11월,"18,000",https://www.yes24.com/product/goods/163301895
24,3줄의 글로 수익을 만드는 스레드 운영법,이동영,한빛미디어,2025년 10월,"18,000",https://www.yes24.com/product/goods/159167901
25,"클로드 올인원 with 코워크, 코드, 디자인","클리커, 강민혁",한빛미디어,2026년 06월,"28,800",https://www.yes24.com/product/goods/192127768
26,혼자 공부하는 파이썬,윤인성,한빛미디어,2022년 06월,"19,800",https://www.yes24.com/product/goods/109625396
27,UX의 언어들,"한성희, 신행철",파지트,2026년 07월,"15,300",https://www.yes24.com/product/goods/193444437
28,슈퍼휴먼 슈퍼워크,"유호현, 김진실",골든래빗,2026년 03월,"21,600",https://www.yes24.com/product/goods/180953300
29,피지컬 AI 시스템 설계,엥지유니버스,한빛미디어,2026년 06월,"27,000",https://www.yes24.com/product/goods/192505185
30,바이브 코더를 위한 최소한의 AI/IT 지식,"클리커, 이희영",한빛미디어,2026년 04월,"19,800",https://www.yes24.com/product/goods/187173505
31,교사와 학부모를 위한 바이브 코딩,"황건호, 신종환, 김형규, 김명휘",씨마스21,2026년 07월,"24,300",https://www.yes24.com/product/goods/192876161
32,지적 대화를 위한 AI 언어 수업,강수진,어웨이크(AWAKE),2026년 05월,"18,000",https://www.yes24.com/product/goods/189212536
33,바로바로 제미나이 X 구글 AI,공냥이,골든래빗,2026년 06월,"21,600",https://www.yes24.com/product/goods/189114942
34,요즘 교사를 위한 에듀테크 수업 활용 가이드 with 2022 개정 교육과정,"박진환, 서원진, 박권",한빛미디어,2026년 04월,"21,600",https://www.yes24.com/product/goods/183538633
35,"클로드 코워크 with 스킬, 플러그인","클리커, 강민혁",한빛미디어,2026년 03월,"23,400",https://www.yes24.com/product/goods/183674597
36,"요즘 교사를 위한 구글 AI 3대장_제미나이, 노트북LM, AI 스튜디오","송명신, 최연준, 최수진, 양서현",앤써북,2026년 06월,"15,930",https://www.yes24.com/product/goods/191481932
